OrderQty;ProductID;SpecialOfferID;CustomerID;SalesPersonID;montantTotal
1;776;1;29825;279;2024.994
3;777;1;29825;279;6074.982
1;778;1;29825;279;2024.994
1;771;1;29825;279;2039.994
1;772;1;29825;279;2039.994
2;773;1;29825;279;4079.988
1;774;1;29825;279;2039.994
3;714;1;29825;279;86.5212
1;716;1;29825;279;28.8404
6;709;1;29825;279;34.2
2;712;1;29825;279;10.373
4;711;1;29825;279;80.746
1;762;1;29672;279;419.4589
1;758;1;29672;279;874.794
1;745;1;29734;282;809.76
1;743;1;29734;282;714.7043
2;747;1;29734;282;1429.4086
4;712;1;29734;282;20.746
4;715;1;29734;282;115.3616
2;742;1;29734;282;1445.1898
3;775;1;29734;282;6074.982
2;778;1;29734;282;4049.988
2;711;1;29734;282;40.373
2;741;1;29734;282;1637.4
4;776;1;29734;282;8099.976
2;773;1;29734;282;4079.988
2;716;1;29734;282;57.6808
2;777;1;29734;282;4049.988
5;708;1;29734;282;100.9325
3;764;1;29994;282;1258.3767
5;770;1;29994;282;2097.2945
2;730;1;29994;282;367.8764
4;754;1;29994;282;3499.176
3;725;1;29994;282;551.8146
5;762;1;29994;282;2097.2945
3;765;1;29994;282;1258.3767
2;768;1;29994;282;838.9178
1;753;1;29994;282;2146.962
1;756;1;29994;282;874.794
3;763;1;29994;282;1258.3767
1;732;1;29994;282;356.898
6;758;1;29994;282;5248.764
1;729;1;29994;282;183.9382
3;722;1;29994;282;535.7424
1;749;1;29994;282;2146.962
3;760;1;29994;282;1258.3767
1;726;1;29994;282;183.9382
1;733;1;29994;282;356.898
1;738;1;29994;282;178.5808
3;766;1;29994;282;1258.3767
1;755;1;29994;282;874.794
1;760;1;29565;276;419.4589
1;772;1;29898;280;2039.994
4;775;1;29898;280;8099.976
1;714;1;29898;280;28.8404
1;716;1;29898;280;28.8404
2;777;1;29898;280;4049.988
3;771;1;29898;280;6119.982
1;773;1;29898;280;2039.994
1;778;1;29898;280;2024.994
2;711;1;29580;283;40.373
